Ticker,Company Name,Issue,Market,Currency,Asset Class
,Province of Newfoundland and Labrador,PROV NFL AND LABR 1.25%02JUN27,,CAD,Bonds
,407 International,407 INTL SECURED  2.59%25MAY32,,CAD,Bonds
,Enbridge Inc,ENBRIDGE INC     3.10% 21SEP33,,CAD,Bonds
,Greater Toronto Airport Authority,GTAA             1.54% 03MAY28,,CAD,Bonds
,Province of PEI,PROV PEI SR UNSEC 1.85%27JUL31,,CAD,Bonds
,Royal Bank of Canada,RBC  NVCC FF-2028 1.67%28JAN33,,CAD,Bonds
,Sunlife Insurance,SUNLIFE  FF-2030 2.06% 01OCT35,,CAD,Bonds
,Transcanada Pipeline,TRANSCDA PIPE       3% 18SEP29,,CAD,Bonds
